Timestamp (UTC);colonna1;colonna2;colonna3
09/08/2021 23:00:59.3;1;1;1
09/08/2021 22:00:58.6;1;1;1
09/08/2021 21:00:59.2;1;1;1
09/08/2021 20:00:59.1;1;1;1
09/08/2021 19:00:59.7;1;1;1
09/08/2021 18:00:59.1;1;1;1
09/08/2021 17:01:00.0;1;1;1
09/08/2021 16:00:00.1;1;1;1
09/08/2021 15:00:00.1;1;1;1
09/08/2021 14:00:00.1;1;1;1
09/08/2021 13:00:59.3;1;1;1
09/08/2021 12:00:00.1;1;1;1
09/08/2021 11:00:00.1;1;1;1
09/08/2021 10:00:00.1;1;1;1
09/08/2021 09:00:00.1;1;1;1
09/08/2021 08:00:00.1;1;1;1
09/08/2021 07:00:59.7;1;1;1
09/08/2021 06:00:00.1;1;1;1
09/08/2021 05:00:00.1;1;1;1
09/08/2021 04:00:00.1;1;1;1
09/08/2021 03:00:00.0;1;1;1
09/08/2021 02:00:00.1;1;1;1
09/08/2021 01:00:00.0;1;1;1
09/08/2021 00:00:58.2;1;1;1
09/08/2021 23:00:59.3;1;1;1
09/08/2021 22:00:58.6;1;1;1
09/08/2021 21:00:59.2;1;1;1
09/08/2021 20:00:59.1;1;1;1
09/08/2021 19:00:59.7;1;1;1
09/08/2021 18:00:59.1;1;1;1
09/08/2021 17:01:00.0;1;1;1
09/08/2021 16:00:00.1;1;1;1
09/08/2021 15:00:00.1;1;1;1
09/08/2021 14:00:00.1;1;1;1
09/08/2021 13:00:59.3;1;1;1
09/08/2021 12:00:00.1;1;1;1
09/08/2021 11:00:00.1;1;1;1
09/08/2021 10:00:00.1;1;1;1
09/08/2021 09:00:00.1;1;1;1
09/08/2021 08:00:00.1;1;1;1
09/08/2021 07:00:59.7;1;1;1
09/08/2021 06:00:00.1;1;1;1
09/08/2021 05:00:00.1;1;1;1
09/08/2021 04:00:00.1;1;1;1
09/08/2021 03:00:00.0;1;1;1
09/08/2021 02:00:00.1;1;1;1
09/08/2021 01:00:00.0;1;1;1
09/08/2021 00:00:58.2;1;1;1
09/08/2021 23:00:59.3;1;1;1
09/08/2021 22:00:58.6;1;1;1
09/08/2021 21:00:59.2;1;1;1
09/08/2021 20:00:59.1;1;1;1
09/08/2021 19:00:59.7;1;1;1
09/08/2021 18:00:59.1;1;1;1
09/08/2021 17:01:00.0;1;1;1
09/08/2021 16:00:00.1;1;1;1
09/08/2021 15:00:00.1;1;1;1
09/08/2021 14:00:00.1;1;1;1
09/08/2021 13:00:59.3;1;1;1
09/08/2021 12:00:00.1;1;1;1
09/08/2021 11:00:00.1;1;1;1
09/08/2021 10:00:00.1;1;1;1
09/08/2021 09:00:00.1;1;1;1
09/08/2021 08:00:00.1;1;1;1
09/08/2021 07:00:59.7;1;1;1
09/08/2021 06:00:00.1;1;1;1
09/08/2021 05:00:00.1;1;1;1
09/08/2021 04:00:00.1;1;1;1
09/08/2021 03:00:00.0;1;1;1
09/08/2021 02:00:00.1;1;1;1
09/08/2021 01:00:00.0;1;1;1
09/08/2021 00:00:58.2;1;1;1
09/08/2021 23:00:59.3;1;1;1
09/08/2021 22:00:58.6;1;1;1
09/08/2021 21:00:59.2;1;1;1
09/08/2021 20:00:59.1;1;1;1
09/08/2021 19:00:59.7;1;1;1
09/08/2021 18:00:59.1;1;1;1
09/08/2021 17:01:00.0;1;1;1
09/08/2021 16:00:00.1;1;1;1
09/08/2021 15:00:00.1;1;1;1
09/08/2021 14:00:00.1;1;1;1
09/08/2021 13:00:59.3;1;1;1
09/08/2021 12:00:00.1;1;1;1
09/08/2021 11:00:00.1;1;1;1
09/08/2021 10:00:00.1;1;1;1
09/08/2021 09:00:00.1;1;1;1
09/08/2021 08:00:00.1;1;1;1
09/08/2021 07:00:59.7;1;1;1
09/08/2021 06:00:00.1;1;1;1
09/08/2021 05:00:00.1;1;1;1
09/08/2021 04:00:00.1;1;1;1
09/08/2021 03:00:00.0;1;1;1
09/08/2021 02:00:00.1;1;1;1
09/08/2021 01:00:00.0;1;1;1
09/08/2021 00:00:58.2;1;1;1
09/08/2021 23:00:59.3;1;1;1
09/08/2021 22:00:58.6;1;1;1
09/08/2021 21:00:59.2;1;1;1
09/08/2021 20:00:59.1;1;1;1
09/08/2021 19:00:59.7;1;1;1
09/08/2021 18:00:59.1;1;1;1
09/08/2021 17:01:00.0;1;1;1
09/08/2021 16:00:00.1;1;1;1
09/08/2021 15:00:00.1;1;1;1
09/08/2021 14:00:00.1;1;1;1
09/08/2021 13:00:59.3;1;1;1
09/08/2021 12:00:00.1;1;1;1
09/08/2021 11:00:00.1;1;1;1
09/08/2021 10:00:00.1;1;1;1
09/08/2021 09:00:00.1;1;1;1
09/08/2021 08:00:00.1;1;1;1
09/08/2021 07:00:59.7;1;1;1
09/08/2021 06:00:00.1;1;1;1
09/08/2021 05:00:00.1;1;1;1
09/08/2021 04:00:00.1;1;1;1
09/08/2021 03:00:00.0;1;1;1
09/08/2021 02:00:00.1;1;1;1
09/08/2021 01:00:00.0;1;1;1
09/08/2021 00:00:58.2;1;1;1
09/08/2021 23:00:59.3;1;1;1
09/08/2021 22:00:58.6;1;1;1
09/08/2021 21:00:59.2;1;1;1
